name,chunk,sets,overlap,images_overlap,sensitivity,downscale,indices,n_indices,images,set_registered,set_total,set_ratio,set_seconds,merged_registered,merged_images,merged_ratio,merged_points,merged_mean_px,merge_seconds,total_seconds,sec_per_index,status
cal_ds1,25,1,10,Medium,Medium,1,0-24,25,200,200,200,1.0,250.6,,,,,,,250.6,10.02,ok
cal_ds2,25,1,10,Medium,Medium,2,0-24,25,200,198,200,0.99,94.6,,,,,,,94.6,3.79,ok
size_100x3,100,3,10,Medium,Medium,1,0-279,280,2240,2389,2400,0.9954,2760.8,2229,2240,0.9951,3660898,0.5624,709.5,3470.5,12.39,ok
size_50x6,50,6,10,Medium,Medium,1,0-249,250,2000,2394,2400,0.9975,2092.7,1994,2000,0.997,3331078,0.5642,653.0,2745.9,10.98,ok
size_25x12,25,12,10,Medium,Medium,1,0-189,190,1520,2394,2400,0.9975,1430.3,1515,1520,0.9967,2466608,0.5741,622.8,2053.3,10.81,ok
p_base,25,6,10,Medium,Medium,1,0-99,100,800,1195,1200,0.9958,740.8,796,800,0.995,1137289,0.6016,247.9,988.9,9.89,ok
p_ov5,25,6,5,Medium,Medium,1,0-124,125,1000,1197,1200,0.9975,877.8,997,1000,0.997,1567291,0.6049,328.3,1206.2,9.65,ok
p_ov20,25,6,20,Medium,Medium,1,0-49,50,400,1198,1200,0.9983,576.1,399,400,0.9975,588883,0.5868,105.3,681.5,13.63,ok
p_imgov_low,25,6,10,Low,Medium,1,0-99,100,800,1197,1200,0.9975,936.5,795,800,0.9938,1231116,0.5838,296.6,1233.3,12.33,ok
p_imgov_high,25,6,10,High,Medium,1,0-99,100,800,1192,1200,0.9933,578.2,794,800,0.9925,1095073,0.6133,128.0,706.3,7.06,ok
p_sens_low,25,6,10,Medium,Low,1,0-99,100,800,1183,1200,0.9858,702.0,789,800,0.9862,942592,0.5822,138.2,840.3,8.4,ok
p_sens_high,25,6,10,Medium,High,1,0-99,100,800,1194,1200,0.995,911.9,796,800,0.995,1352762,0.5982,322.4,1234.4,12.34,ok
p_sens_ultra,25,6,10,Medium,Ultra,1,0-99,100,800,1191,1200,0.9925,1111.0,794,800,0.9925,1508409,0.6222,261.7,1372.8,13.73,ok
p_ds2,25,6,10,Medium,Medium,2,0-99,100,800,1189,1200,0.9908,363.6,790,800,0.9875,239405,1.1494,110.7,474.4,4.74,ok
p_ds2_sens_high,25,6,10,Medium,High,2,0-99,100,800,1186,1200,0.9883,430.6,792,800,0.99,285421,1.1978,125.5,556.2,5.56,ok
p_ds2_sens_ultra,25,6,10,Medium,Ultra,2,0-99,100,800,1186,1200,0.9883,495.8,792,800,0.99,370050,1.2892,169.4,665.2,6.65,ok
p_ds2_imgov_high,25,6,10,High,Medium,2,0-99,100,800,1179,1200,0.9825,328.7,787,800,0.9838,230946,1.1485,78.6,407.4,4.07,ok
best_ov5_imgovhigh,25,6,5,High,Medium,1,0-124,125,1000,1196,1200,0.9967,675.3,995,1000,0.995,1451609,0.6131,322.7,998.1,7.98,ok
best50_ov5_imgovhigh,50,3,5,High,Medium,1,0-139,140,1120,1194,1200,0.995,1047.6,1114,1120,0.9946,1598700,0.5955,274.6,1322.3,9.44,ok
